GEOID,blackE,indigE,ltnxE,povrateE,lifeexpBRHD,health_outcomes,overall,overall_no_outcomes,rank_no_outcomes,rank_outcomes
51540000302,0.40829694323144106,0.11764705882352942,0.13278008298755187,0.09090909090909091,0.33204899836681134,0.4215586907925072,1.5032408651109317,1.0816821743184246,24,30
51003010401,0.1790393013100437,0.4117647058823529,0.03734439834024896,0.05514157973174367,0.23430007129853958,0.5842577165300079,1.501847773092937,0.9175900565629289,31,31
51003011202,0.039301310043668124,0.35294117647058826,0.34439834024896265,0.03427719821162445,0.26688304698796395,0.40410765647159336,1.4419087284344005,1.0378010719628072,27,32
51003011201,0.1091703056768559,0,0.2987551867219917,0.05663189269746648,0.3890692058233033,0.5661219033908905,1.4197484943105079,0.8536265909196173,34,33
51540000700,0.05458515283842795,0.4117647058823529,0.10788381742738588,0.256333830104322,0.3245514405503186,0.21996176882001273,1.3750807156228202,1.1551189468028074,23,34
51540000502,0.3275109170305677,0,0.2614107883817427,0.13263785394932937,0.3401947422891668,0.3008458804329249,1.3626001820837315,1.0617543016508066,26,35
51003011303,0.26200873362445415,0,0.3070539419087137,0.11624441132637853,0.32262941530179134,0.3346515962058206,1.3425880983671583,1.0079365021613378,29,36
51125950200,0.032751091703056776,0,0.10373443983402489,0.04769001490312966,0.4705266450468628,0.6709583284977823,1.3256605199848563,0.6547021914870741,41,37
51003010500,0.22270742358078607,0.23529411764705885,0.08713692946058091,0.023845007451564832,0.31371656084531496,0.40909852307947464,1.2917985620647803,0.8827000389853056,33,38
51003010201,0.07205240174672489,0.05882352941176471,0.24481327800829875,0,0.3564862301338789,0.4619408143448336,1.1941162536455008,0.7321754393006673,38,39
51003010300,0.07205240174672489,0,0.23236514522821575,0.09687034277198213,0.26688304698796395,0.48302728539303774,1.1511982221279244,0.6681709367348867,40,40
51003010100,0.12663755458515286,0,0.06639004149377593,0.10879284649776452,0.23430007129853958,0.5878527136723829,1.1239732275476157,0.5361205138752329,44,41
51003010602,0.16375545851528384,0,0.14937759336099585,0.09090909090909091,0.2971841717451319,0.4194440361323148,1.1206703506628173,0.7012263145305025,39,42
51065020102,0.18340611353711792,0,0.14522821576763484,0.043219076005961254,0.1202596563855558,0.5981627520296764,1.0902758137259463,0.49211306169626984,45,43
51540001000,0.028384279475982536,0,0.0995850622406639,0.157973174366617,0.32390325444445467,0.37555833437967157,0.9854041049073896,0.609845770527718,42,44
51003011100,0.021834061135371185,0,0.04564315352697096,0.052160953800298074,0.429797925435083,0.4332839829846256,0.9827200768823487,0.5494360938977232,43,45
51003010402,0.021834061135371185,0.23529411764705885,0.02074688796680498,0.02980625931445604,0.1202596563855558,0.5281170271761326,0.9560580096253795,0.42794098244924683,46,46
51540000900,0.13537117903930132,0,0,0.050670640834575266,0.1446968881526246,0.456305462116284,0.7870441701427852,0.3307387080265012,48,47
51003011000,0,0,0.1784232365145228,0.03129657228017884,0.17727986384204764,0.35528172074483116,0.7422813933815804,0.3869996726367493,47,48
51003010202,0.021834061135371185,0,0.05394190871369294,0.03427719821162445,0,0.47848793040526777,0.5885410984659564,0.11005316806068857,49,49
