GEOID,blackE,ltnxE,povrateE,lifeexpBRHD,health_outcomes,overall,overall_no_outcomes,rank_no_outcomes,rank_outcomes
51003010401,0.1790393013100437,0.03734439834024896,0.05514157973174367,0.23430007129853958,0.5842577165300079,1.0900830672105837,0.5058253506805759,44,40
51003011202,0.039301310043668124,0.34439834024896265,0.03427719821162445,0.26688304698796395,0.40410765647159336,1.0889675519638125,0.6848598954922192,36,41
51003010500,0.22270742358078607,0.08713692946058091,0.023845007451564832,0.31371656084531496,0.40909852307947464,1.0565044444177214,0.6474059213382468,40,42
51540001000,0.028384279475982536,0.0995850622406639,0.157973174366617,0.32390325444445467,0.37555833437967157,0.9854041049073896,0.609845770527718,41,43
51003011100,0.021834061135371185,0.04564315352697096,0.052160953800298074,0.429797925435083,0.4332839829846256,0.9827200768823487,0.5494360938977232,42,44
51540000700,0.05458515283842795,0.10788381742738588,0.256333830104322,0.3245514405503186,0.21996176882001273,0.9633160097404672,0.7433542409204544,34,45
51540000900,0.13537117903930132,0,0.050670640834575266,0.1446968881526246,0.456305462116284,0.7870441701427852,0.3307387080265012,47,46
51003011000,0,0.1784232365145228,0.03129657228017884,0.17727986384204764,0.35528172074483116,0.7422813933815804,0.3869996726367493,46,47
51003010402,0.021834061135371185,0.02074688796680498,0.02980625931445604,0.1202596563855558,0.5281170271761326,0.7207638919783206,0.192646864802188,48,48
51003010202,0.021834061135371185,0.05394190871369294,0.03427719821162445,0,0.47848793040526777,0.5885410984659564,0.11005316806068857,49,49
